Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
4,0,29,3,2752,https://x.com/Claramente23223/status/1889669867734708688,Claramente23223,2837
13,2,30,16,1516,https://x.com/TallesFi/status/1890476360591896712,TallesFi,1676
3,0,26,2,1067,https://x.com/eofeldima/status/1887209298582728741/photo/1,eofeldima,1139
4,0,25,0,1023,https://x.com/eofeldima/status/1887256851953459471/photo/1,eofeldima,1097
4,2,20,7,612,https://x.com/zillinft/status/1887200505727709263/photo/1,zillinft,689
5,1,20,6,532,https://x.com/Satoukibijusu/status/1890541556609757260/photo/1,Satoukibijusu,611
2,0,11,3,511,https://x.com/TallesFi/status/1890749060476223773,TallesFi,548
1,0,17,6,417,https://x.com/may_verse/status/1890924993812611303/photo/1,may_verse,463
5,0,25,2,297,https://x.com/liaagrslv/status/1890007260346429690,liaagrslv,379
9,0,14,1,205,https://x.com/zenderman100/status/1891275502994010378/photo/1,zenderman100,288
2,0,14,3,243,https://x.com/Sifr_TTKO/status/1889767427757474102/photo/2,Sifr_TTKO,286
5,6,9,1,177,https://x.com/valsechi_/status/1889122543124009191/photo/1,valsechi_,244
2,0,9,4,197,https://x.com/nicreton/status/1890149024881058279/photo/1,nicreton,231
1,2,7,2,174,https://x.com/DjowElegance/status/1889068581205475709/photo/1,DjowElegance,202
2,1,12,0,145,https://x.com/s3_nds/status/1889086241481601163,s3_nds,184
1,0,6,1,111,https://x.com/Sifr_TTKO/status/1887662859833770442,Sifr_TTKO,130
1,0,1,1,92,https://x.com/renanweb3/status/1890862537341534639/photo/1,renanweb3,101
1,0,4,0,64,https://x.com/AtiloDomingos/status/1890508470257889755/photo/1,AtiloDomingos,78
0,0,0,0,0,Unknown,Unknown,0
