Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
4,0,29,2,2780,https://x.com/Claramente23223/status/1889669867734708688,Claramente23223,2864
13,3,32,17,1754,https://x.com/TallesFi/status/1890476360591896712,TallesFi,1922
10,1,33,5,1152,https://x.com/eofeldima/status/1893827691847078229,eofeldima,1286
3,0,26,2,1071,https://x.com/eofeldima/status/1887209298582728741/photo/1,eofeldima,1143
4,0,25,0,1026,https://x.com/eofeldima/status/1887256851953459471/photo/1,eofeldima,1100
4,2,20,7,633,https://x.com/zillinft/status/1887200505727709263/photo/1,zillinft,710
5,1,20,6,563,https://x.com/Satoukibijusu/status/1890541556609757260/photo/1,Satoukibijusu,642
2,0,11,5,580,https://x.com/TallesFi/status/1890749060476223773,TallesFi,619
1,0,18,6,443,https://x.com/may_verse/status/1890924993812611303/photo/1,may_verse,491
6,0,28,2,333,https://x.com/liaagrslv/status/1890007260346429690,liaagrslv,427
9,1,16,2,278,https://x.com/zenderman100/status/1891275502994010378/photo/1,zenderman100,369
5,6,12,1,238,https://x.com/valsechi_/status/1889122543124009191/photo/1,valsechi_,311
2,0,15,3,253,https://x.com/Sifr_TTKO/status/1889767427757474102/photo/2,Sifr_TTKO,298
1,2,7,2,218,https://x.com/DjowElegance/status/1889068581205475709/photo/1,DjowElegance,246
2,0,9,4,204,https://x.com/nicreton/status/1890149024881058279/photo/1,nicreton,238
2,1,12,0,149,https://x.com/s3_nds/status/1889086241481601163,s3_nds,188
1,0,2,1,140,https://x.com/renanweb3/status/1890862537341534639/photo/1,renanweb3,151
1,0,6,1,119,https://x.com/Sifr_TTKO/status/1887662859833770442,Sifr_TTKO,138
1,0,4,0,78,https://x.com/AtiloDomingos/status/1890508470257889755/photo/1,AtiloDomingos,92
1,0,0,0,35,https://x.com/mageSool/status/1891215140839903576/photo/1,mageSool,41
