Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
4,0,29,3,2751,https://x.com/Claramente23223/status/1889669867734708688,Claramente23223,2836
13,2,30,16,1514,https://x.com/TallesFi/status/1890476360591896712,TallesFi,1674
3,0,26,2,1066,https://x.com/eofeldima/status/1887209298582728741/photo/1,eofeldima,1138
4,0,25,0,1022,https://x.com/eofeldima/status/1887256851953459471/photo/1,eofeldima,1096
4,2,20,7,611,https://x.com/zillinft/status/1887200505727709263/photo/1,zillinft,688
5,1,20,6,531,https://x.com/Satoukibijusu/status/1890541556609757260/photo/1,Satoukibijusu,610
2,0,11,3,510,https://x.com/TallesFi/status/1890749060476223773,TallesFi,547
1,0,17,6,416,https://x.com/may_verse/status/1890924993812611303/photo/1,may_verse,462
5,0,25,2,296,https://x.com/liaagrslv/status/1890007260346429690,liaagrslv,378
9,1,14,1,203,https://x.com/zenderman100/status/1891275502994010378/photo/1,zenderman100,289
2,0,14,3,242,https://x.com/Sifr_TTKO/status/1889767427757474102/photo/2,Sifr_TTKO,285
5,6,9,1,174,https://x.com/valsechi_/status/1889122543124009191/photo/1,valsechi_,241
2,0,9,4,196,https://x.com/nicreton/status/1890149024881058279/photo/1,nicreton,230
1,2,7,2,173,https://x.com/DjowElegance/status/1889068581205475709/photo/1,DjowElegance,201
2,1,12,0,144,https://x.com/s3_nds/status/1889086241481601163,s3_nds,183
1,0,6,1,110,https://x.com/Sifr_TTKO/status/1887662859833770442,Sifr_TTKO,129
1,0,1,1,91,https://x.com/renanweb3/status/1890862537341534639/photo/1,renanweb3,100
1,0,4,0,63,https://x.com/AtiloDomingos/status/1890508470257889755/photo/1,AtiloDomingos,77
0,0,0,0,0,Unknown,Unknown,0
