Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,28,0,923,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,988
3,0,18,2,890,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,946
2,0,27,1,834,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,901
3,1,10,1,634,https://x.com/batatrader/status/1883882092368482682,batatrader,676
2,0,7,3,400,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,429
1,0,5,0,208,https://x.com/s3_nds/status/1884326773695078589/photo/1,s3_nds,224
2,0,5,1,196,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,219
1,0,7,0,168,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,188
1,0,4,2,149,https://x.com/renanweb3/status/1884375359065387021/photo/1,renanweb3,165
2,0,6,2,125,https://x.com/DjowElegance/status/1884330659734511926/photo/1,DjowElegance,151
2,1,8,3,103,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,137
1,2,5,0,103,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,125
1,1,2,0,73,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,86
1,0,3,0,41,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,53
0,0,1,0,40,https://x.com/Despatrickster/status/1884320850868064315,Despatrickster,42
0,0,0,1,20,https://x.com/lima_bboy/status/1884352319417929733,lima_bboy,21
