Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,28,0,924,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,989
3,0,18,2,928,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,984
2,0,27,1,835,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,902
3,1,11,1,653,https://x.com/batatrader/status/1883882092368482682,batatrader,697
2,0,8,3,405,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,436
3,1,12,1,367,https://x.com/liaagrslv/status/1884723895166787783,liaagrslv,413
1,0,6,0,215,https://x.com/s3_nds/status/1884326773695078589/photo/1,s3_nds,233
2,0,5,1,201,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,224
2,0,14,1,173,https://x.com/makarov_ET/status/1884673787641090270/photo/1,makarov_ET,214
1,0,7,0,172,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,192
1,0,5,2,165,https://x.com/renanweb3/status/1884375359065387021/photo/1,renanweb3,183
2,0,6,2,141,https://x.com/DjowElegance/status/1884330659734511926/photo/1,DjowElegance,167
2,1,9,3,106,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,142
1,2,5,0,108,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,130
1,1,2,0,79,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,92
1,0,4,0,47,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,61
1,0,3,0,40,https://x.com/0xBari/status/1884613702365634788,0xBari,52
0,0,1,0,41,https://x.com/Despatrickster/status/1884320850868064315,Despatrickster,43
0,0,2,1,24,https://x.com/lima_bboy/status/1884352319417929733,lima_bboy,29
