Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,27,0,917,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,980
2,0,26,1,829,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,894
3,1,9,1,496,https://x.com/batatrader/status/1883882092368482682,batatrader,536
2,0,8,0,483,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,511
2,0,6,2,302,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,328
2,0,4,1,176,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,197
1,0,5,0,126,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,142
1,2,4,0,95,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,115
2,1,4,1,29,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,53
1,0,1,0,26,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,34
1,0,2,0,23,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,33
