Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
3,1,21,2,1491,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,1556
1,1,27,0,932,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,995
2,0,27,1,841,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,908
3,1,11,1,697,https://x.com/batatrader/status/1883882092368482682,batatrader,741
3,1,15,1,578,https://x.com/liaagrslv/status/1884723895166787783,liaagrslv,630
7,1,14,5,510,https://x.com/zillinft/status/1885044376776114428/photo/1,zillinft,588
2,0,9,3,422,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,455
2,0,14,1,220,https://x.com/makarov_ET/status/1884673787641090270/photo/1,makarov_ET,261
5,2,16,3,181,https://x.com/zenderman100/status/1885125981230301570/photo/1,zenderman100,252
1,0,7,0,228,https://x.com/s3_nds/status/1884326773695078589/photo/1,s3_nds,248
2,0,6,2,212,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,238
1,1,9,0,207,https://x.com/may_verse/status/1885148024315207782/photo/1,may_verse,234
1,0,7,0,192,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,212
1,0,6,2,178,https://x.com/renanweb3/status/1884375359065387021/photo/1,renanweb3,198
2,0,7,2,154,https://x.com/DjowElegance/status/1884330659734511926/photo/1,DjowElegance,182
1,0,6,1,148,https://x.com/rafael_edita/status/1885120488583622883,rafael_edita,167
2,1,9,3,115,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,151
1,2,5,0,113,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,135
1,1,2,0,99,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,112
1,0,6,0,66,https://x.com/mageSool/status/1885115909121204295/photo/1,mageSool,84
1,0,4,0,64,https://x.com/0xBari/status/1884613702365634788,0xBari,78
1,0,5,0,54,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,70
0,0,2,0,47,https://x.com/Despatrickster/status/1884320850868064315,Despatrickster,51
0,0,2,1,30,https://x.com/lima_bboy/status/1884352319417929733,lima_bboy,35
1,0,0,0,13,https://x.com/Lorenciokkk/status/1885117099531448548/photo/1,Lorenciokkk,19
