Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,27,0,921,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,984
3,0,16,2,861,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,913
2,0,26,1,832,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,897
3,1,10,1,622,https://x.com/batatrader/status/1883882092368482682,batatrader,664
2,0,7,3,397,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,426
1,0,5,0,191,https://x.com/s3_nds/status/1884326773695078589/photo/1,s3_nds,207
2,0,4,1,185,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,206
1,0,6,0,164,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,182
1,0,3,2,142,https://x.com/renanweb3/status/1884375359065387021/photo/1,renanweb3,156
2,1,6,3,99,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,129
2,0,5,2,102,https://x.com/DjowElegance/status/1884330659734511926/photo/1,DjowElegance,126
1,2,4,0,100,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,120
1,1,1,0,66,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,77
1,0,2,0,37,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,47
0,0,0,0,38,https://x.com/Despatrickster/status/1884320850868064315,Despatrickster,38
0,0,0,1,16,https://x.com/lima_bboy/status/1884352319417929733,lima_bboy,17
