Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,27,0,916,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,979
2,0,26,1,828,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,893
3,1,9,1,473,https://x.com/batatrader/status/1883882092368482682,batatrader,513
2,0,8,0,440,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,468
2,0,5,2,278,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,302
2,0,4,1,174,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,195
1,0,4,0,116,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,130
1,2,4,0,94,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,114
1,0,0,0,25,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,31
1,0,2,0,19,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,29
1,1,2,0,10,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,23
