Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,23,0,906,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,961
2,0,24,1,825,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,886
2,0,3,1,154,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,173
1,2,3,0,88,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,106
1,0,0,0,20,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,26
