Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,24,0,869,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,926
2,0,26,1,816,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,881
2,0,3,1,143,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,162
1,2,3,0,83,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,101
1,0,0,0,16,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,22
