Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
3,0,18,2,1124,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,1180
1,1,27,0,927,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,990
2,0,27,1,838,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,905
3,1,11,1,669,https://x.com/batatrader/status/1883882092368482682,batatrader,713
3,1,14,1,449,https://x.com/liaagrslv/status/1884723895166787783,liaagrslv,499
2,0,8,3,408,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,439
1,0,6,0,223,https://x.com/s3_nds/status/1884326773695078589/photo/1,s3_nds,241
2,0,14,1,198,https://x.com/makarov_ET/status/1884673787641090270/photo/1,makarov_ET,239
2,0,5,1,204,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,227
1,0,7,0,181,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,201
1,0,5,2,171,https://x.com/renanweb3/status/1884375359065387021/photo/1,renanweb3,189
2,0,6,2,146,https://x.com/DjowElegance/status/1884330659734511926/photo/1,DjowElegance,172
2,1,9,3,109,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,145
1,2,5,0,110,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,132
1,1,2,0,85,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,98
1,0,3,0,57,https://x.com/0xBari/status/1884613702365634788,0xBari,69
1,0,4,0,50,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,64
0,0,1,0,43,https://x.com/Despatrickster/status/1884320850868064315,Despatrickster,45
0,0,2,1,26,https://x.com/lima_bboy/status/1884352319417929733,lima_bboy,31
