Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,26,0,913,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,974
2,0,26,1,826,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,891
3,0,9,1,378,https://x.com/batatrader/status/1883882092368482682,batatrader,415
1,0,3,0,214,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,226
2,0,4,1,170,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,191
2,0,3,1,169,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,188
1,2,3,0,91,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,109
1,0,4,0,93,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,107
1,0,0,0,22,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,28
