Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,27,0,919,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,982
2,0,26,1,830,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,895
2,0,12,2,637,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,675
3,1,9,1,527,https://x.com/batatrader/status/1883882092368482682,batatrader,567
2,0,7,3,377,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,406
2,0,4,1,181,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,202
1,0,5,0,152,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,168
1,2,4,0,96,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,116
2,1,7,2,76,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,107
1,0,2,0,31,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,41
1,0,1,0,27,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,35
