Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,23,0,862,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,917
2,0,25,1,814,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,877
2,0,3,0,140,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,158
1,2,3,0,81,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,99
1,0,0,0,14,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,20
