Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
2,0,9,1,812,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,843
1,1,7,0,539,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,562
2,0,2,0,135,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,151
1,2,3,0,79,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,97
1,0,0,0,10,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,16
